id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
c6,ff8c27b386c777c5,24bfff,73,36b6e4,08,32,7d37a0,78eb41,cf5429d2ab32f738,72aa1c,05ac27,869444c2b156bf5dd655ba,d5e2244fd45517778f0345,72,e5,d439e8e55c8aee,e177de87b6,953fdf5a1c6a31b3e4,7e6e15f81e9e0b4b90,2e19b0,fb1cabee944996028f,c9d7d901940155d796a8,6ab66d,2a8734,ad83fd,88fd27,a8c3,b830,4d,8d,1d,fc,9f,82,6d,3f,9a,77,a1,e7,1b,7d,7625d00ceace,d9
2c,9d2fdf38dee85343,afa274,48,ba6377,e081,589c,3a3ff3,4bbdaa2589,b764d0fef2c98906ed,9254,390ca1,6950d0e3efec1e25eee8de,b660ed056e492360ad4e0a,62,df22,928acbc790f7,0aed8edb610d32d488,f8a9ecc2380613dadd,738a8c780dbe53ac82f9,8f4a12,bbfcb84c3c1e7e15a298,588ce31c312593c93f88,72ca83,6ceeae,bec46f,cdfc48,eac7,e1ae50de,64,44,92de,71,86,6f,98,d6,ac,b0,b6,ff,6d,a1,390b1fb51c8b,13
66,3076739a2faea1de,5a445b,59,247bfd,20,860d,0f522a,56741961eb,9f8a0b54fe01c624cd,b30d,582b35,b8f9ad7e43d0aaae60c218,d909a4d641d2bf8d698b75,e6,14,2216b2311258ab4f8e4e,443bfe2cabb49306bd90,19478ee4d8464c63d55a2e,3a0da375f0c87734699320,b0c98b,a3fefa4a1fb892bb9032,1966321872cfe7650972,6e6d62,b5869b309b2f26f8,ae7910783e00ec94,0d14660ab09e84de,ea0e,8a51b5,86,c7,2e,b4,60,cb,46,8a,a2,f5,d0,64,98,4a,79cd73933c25,3e
fb,45db6b6780740222,95f9a7,91682d,93cbda,8344,8724,7d0f76,bb3af6,7ed409bf4a05b1ac28,2b5a,9f52ce,492a9b5e7fa55d3729af9d,0a1ba692e7b146622059,94,e9,f6de461be3255ae9447b,c40d69cb282556843c,3514b4601d5fc3d8f254,c75b2e09ec1a2378324110,c11d9d,da74a4c02d5c56fd4317,b39d19efae3535965997,05569b,e31168,3a5ac1,fb448b,3018,1336,bd,0a,6d,f8,f0,fa,13,fc,12,6c,f3,f7,66,26,312066f04e2f,7f
c8,8720a7518f8e6a84,0c0812,a2,d4427e,5244,89,d19756,64603c,8f71813ae9bdb43cad,60750f,643f96,1fabc7613cfaccfba85255,0cdeb7eca45e7c956963be,30,27,d798b3d32358d40a52,0fb464c5ace218aa29,363a34b87c5cbf8f6fa0fd,b62367d70ad385,733138,af77458e71b70870407a,125bde3500f9f879b4e5,43323c,456bbe0f831cd9d8,f2fd283f84fe275c,7800206221ce8f22,ae69,0ca6,62,8f,73c6,d9,ba,35,2f,7d15,fa,0a,e0,2b,3554,fa,34acac1272fc,80
e4,7fcd1f89ceb64a68,cbcc2d,37,8f9df0,eaa5,90,a787e4,ae0754,c58598e5134c3eae,4144ef,69cdca,3d478a2c57c594f263d4f3,7401a8fc504ac2def78dfe,41,eb,d776351b1271a5064a,ae0496600872,f7a87d23bec0ea131bf62c,618b9df85abbff,96ded5,f804b6d49817094566ce,82742704e7c77333fb29,533f57,57f99d0ac85143f9,50727ad14dae4c5e,01e77694e8a61e8e,bb46,abb9,08,27,2103,53,86,af,5b,99e8,2c,7c,99,33,8bf4,61,f0115036ee95,89
79,49df2a7408e7c700,a57458,27,cd60ec,6b35,a5,0fdae7,334135,e76a70f3fdc7ff86d4,399f0c,4111f2,94b5db826a84192a55a981,4de6c59566327673d07f,b0,02,058f3bab1b55d707b5,5d1b968f02372b3517,3a6a2f6665bf1bede73d,497db8fd165b7ee0db1d,8d432d,cf5a94bf9d83559d67bc,678b790b69a8f892df21,3a6017,980d53dd677e9aad,a92a79986843f80e,84f59c8bf4290319,2a2a,b4e7,cb,1c,03e6,57,63,3c,f9,55ca,c7,4b,f5,78,3add,07,635f5d52d379,ec
5c,c32e8dba3082b166,402a3b,fd,03db09,dd75,02,641c4a,68068a,f172b22410ca1f5b1e,21250d,9dfa26,d1d45f08fca485363b469d,9761089a8222aa01209a,f2,53,89718b83d67d,abc62c6d7f58db9ce0,b381a62048fcd66fbad45e,e21fd5ba3cb3a4b9ad9f,e290ba,cfdf39e3bf428ee7f0,ec5805e14f620a9cef,540b67,46c0af470737c587,4ad940f729f45662,da2bd97bb60a19,1f79,d4cf,92,8e,2abd,d9,0b,d3,c6,6e01,fe,06,36,5c,cac7,f4,d7882ba0eca1,ea
c1,e631277334a9270b,434baa,79,d18829,af8c,d3,ecba43,9b37d0,a851244be637e814be,4fdce2,cc6b0a,dd5604374b93834005e285,e6458f2530a118635b1d56,fd,83,e9d2efc872cbfa05e2,97d26fa532a6,aeccd5793d99bca589645a,9d02e25de6287fcc3e6a,194d4d,e485ba482dfd079c70,760e985a0cb14e216c75,c806bc,62a5fd1605e8c260,32d0c0d22a57d408,ac11da06c98a6bce,1ff6,4c0f,22,64,7b36,95,d1,54,01,bd7e,06,0a,3a,52,0739,39,b20a270f400d,9e
9939,1dabc86b676e09e3,449488,7c,b94ec4,f791,a6,7f7be4,5fbe83,2faf21a54d30585b93,e7d0b1,fc1305,b9c57dcfd47afdf958b3d0,dfd8b88d8aea8c32cc6356,6c,02,28f7c9ae08a09fcbed,7565da2c9c50e21c9d,215648f2e09bf080b7e7bc,da38b9df915f85257a,090496,fc590133def22d24fa88,fc37dabd4edef1b981,f42b35,466676e6e7ab57ac,aeff557b6c996710,3a056bc877fd1e7a,bf01,6f29,75,b3,4c0e,ad,ea,af,e3,49d6,5c,ed,83,4d,4c22,0f,834b15ce23b0,99
